CHROM	GeneStart	GeneEnd	TargetID	GeneName	Pvalue
1	14362	29806	ENSG00000227232	WASH7P	0.274487398668564
1	227614	267253	ENSG00000228463	AP006222.2	0.443063990705623
1	564441	564813	ENSG00000225972	MTND1P23	0.697008847205581
1	565019	566063	ENSG00000225630	MTND2P28	0.547937012813826
1	566453	567996	ENSG00000237973	RP5-857K21.6	0.807261704142895
1	568136	568818	ENSG00000229344	RP5-857K21.7	0.803007142437363
1	569075	569756	ENSG00000248527	RP5-857K21.10	0.395000171911047
1	569755	570302	ENSG00000198744	RP5-857K21.11	0.730415834842564
1	700236	714006	ENSG00000228327	RP11-206L10.2	0.847876737316228
1	714161	740255	ENSG00000237491	RP11-206L10.6	0.598893805327202
1	762987	794826	ENSG00000228794	RP11-206L10.11	0.948906199830362
1	879583	894689	ENSG00000188976	NOC2L	0.913630918447013
1	895966	901095	ENSG00000187961	KLHL17	0.94742918210499
1	934341	935552	ENSG00000188290	HES4	0.966037452646616
1	948802	949920	ENSG00000187608	ISG15	0.848228009623362
1	955502	991496	ENSG00000188157	AGRN	0.971053326580505
1	995113	1004735	ENSG00000217801	RP11-465B22.3	0.892665829842569
1	1017197	1051741	ENSG00000131591	C1orf159	0.985316439588629
1	1138887	1142071	ENSG00000186891	TNFRSF18	0.660916971207489
1	1152287	1167411	ENSG00000078808	SDF4	0.952681520940012
1	1167628	1170421	ENSG00000176022	B3GALT6	0.986093775936763
1	1189288	1209265	ENSG00000160087	UBE2J2	0.924724597833955
1	1210602	1215800	ENSG00000230415	RP5-902P8.10	0.754786328549321
1	1214446	1227409	ENSG00000162572	SCNN1D	0.82424952695007
1	1227755	1244989	ENSG00000131584	ACAP3	0.961198010932817
1	1243946	1247057	ENSG00000169972	PUSL1	0.992571804799023
1	1246964	1260071	ENSG00000127054	CPSF3L	0.807157624385502
1	1252960	1254069	ENSG00000240731	RP5-890O3.9	0.639803005166088
1	1260135	1264277	ENSG00000224051	GLTPD1	0.94742065736893
1	1270655	1284760	ENSG00000107404	DVL1	0.919690659243007
1	1288068	1297157	ENSG00000162576	MXRA8	0.988915319294346
1	1309109	1310875	ENSG00000175756	AURKAIP1	0.878509046513737
1	1321090	1334708	ENSG00000221978	CCNL2	0.828812335646555
1	1334901	1337426	ENSG00000224870	RP4-758J18.2	0.95786654042209
1	1337287	1342693	ENSG00000242485	MRPL20	0.971007690662975
1	1353799	1357149	ENSG00000235098	ANKRD65	0.725198846994057
1	1361507	1363167	ENSG00000205116	TMEM88B	0.982059724741027
1	1370240	1378262	ENSG00000179403	VWA1	0.950376200380547
1	1385068	1405538	ENSG00000215915	ATAD3C	0.985629167899975
1	1407142	1433228	ENSG00000160072	ATAD3B	0.961654067054283
1	1447530	1470067	ENSG00000197785	ATAD3A	0.948028815112501
1	1470553	1475833	ENSG00000205090	TMEM240	0.995873461718895
1	1477052	1510249	ENSG00000160075	SSU72	0.997204347075063
1	1510354	1511373	ENSG00000215014	AL645728.1	0.993823130617126
1	1533391	1535476	ENSG00000228594	C1orf233	0.997843458523699
1	1550794	1565990	ENSG00000197530	MIB2	0.953115789037135
1	1571099	1588935	ENSG00000248333	CDK11B	0.942514892622799
1	1592938	1624167	ENSG00000189339	SLC35E2B	0.547046237097334
1	1656053	1663343	ENSG00000227775	RP1-283E3.3	0.895551755730506
1	1656276	1677431	ENSG00000215790	SLC35E2	0.772425171702199
1	1682670	1711896	ENSG00000008130	NADK	0.907642613526392
1	1716724	1822502	ENSG00000078369	GNB1	0.946517151500396
1	1846265	1848735	ENSG00000169885	CALML6	0.869039371113014
1	1853395	1935276	ENSG00000142609	C1orf222	0.897150813066925
1	1944651	1946969	ENSG00000233542	RP11-547D24.1	0.861892093597393
1	1950779	1962192	ENSG00000187730	GABRD	0.752024044004433
1	1981908	2116834	ENSG00000067606	PRKCZ	0.871924572155222
1	2113232	2115828	ENSG00000182873	RP11-181G12.2	0.955188151995592
1	2115902	2144159	ENSG00000162585	C1orf86	0.92594561892858
1	2160133	2241558	ENSG00000157933	SKI	0.849785307547949
1	2252691	2323146	ENSG00000116151	MORN1	0.859038306350547
1	2323266	2335190	ENSG00000157916	RER1	0.35607426499644
1	2336235	2345236	ENSG00000157911	PEX10	0.921030251050442
1	2398897	2436969	ENSG00000149527	PLCH2	0.787285552674826
1	2439971	2458039	ENSG00000157881	PANK4	0.686064548273713
1	2460183	2461684	ENSG00000197921	HES5	0.844374767272644
1	2487077	2497061	ENSG00000157873	TNFRSF14	0.898913373380442
1	2517929	2522908	ENSG00000157870	FAM213B	0.289174021685167
1	2976178	2985001	ENSG00000177133	RP1-163G9.1	0.462607389246864
1	2985731	3355185	ENSG00000142611	PRDM16	0.602437856124349
1	3370989	3397677	ENSG00000130762	ARHGEF16	0.945621886313533
1	3406483	3528059	ENSG00000162591	MEGF6	0.989736719382639
1	3539753	3541307	ENSG00000238260	RP11-46F15.2	0.697535414517174
1	3541565	3546691	ENSG00000158109	TPRG1L	0.851744922062053
1	3547330	3569325	ENSG00000116213	WRAP73	0.990559936958514
1	3652547	3663900	ENSG00000227372	TP73-AS1	0.907375915187133
1	3696783	3713068	ENSG00000130764	LRRC47	0.553665406031857
1	3728644	3773778	ENSG00000116198	CEP104	0.745729622943737
1	3773844	3801993	ENSG00000169598	DFFB	0.837743609268208
1	3805688	3816857	ENSG00000198912	C1orf174	0.597718349794454
1	4714791	4843850	ENSG00000196581	AJAP1	0.996472390248911
1	5922870	6052533	ENSG00000131697	NPHP4	0.975799994753317
1	6051525	6161253	ENSG00000069424	KCNAB2	0.964887796919771
1	6161852	6240183	ENSG00000116254	CHD5	0.922176285690129
1	6241328	6269449	ENSG00000116251	RPL22	0.934103910437939
1	6265534	6281359	ENSG00000158286	RNF207	0.203161096631786
1	6281251	6296032	ENSG00000116237	ICMT	0.962431526110367
1	6307405	6321035	ENSG00000158292	GPR153	0.994802480095162
1	6324332	6454451	ENSG00000097021	ACOT7	0.991298167082486
1	6484847	6521430	ENSG00000187017	ESPN	0.961448666979164
1	6521210	6526255	ENSG00000215788	TNFRSF25	0.980773055283116
1	6526151	6580121	ENSG00000171680	PLEKHG5	0.954143172103655
1	6581406	6614595	ENSG00000162408	NOL9	0.999662174590969
1	6640060	6649340	ENSG00000204859	ZBTB48	0.944649859266929
1	6650783	6674667	ENSG00000162413	KLHL21	0.996124163611146
1	6673744	6684093	ENSG00000116273	PHF13	0.993723465754783
1	6684925	6695646	ENSG00000041988	THAP3	0.158132453771535
1	6694227	6761984	ENSG00000007923	DNAJC11	0.787354443985864
1	6845383	7827916	ENSG00000171735	CAMTA1	0.968117340866057
1	7831328	7841492	ENSG00000049245	VAMP3	0.814701414561762
1	7844379	7905237	ENSG00000049246	PER3	0.992913199636494
1	8014350	8045565	ENSG00000116288	PARK7	0.903930846085137
1	8064463	8086368	ENSG00000116285	ERRFI1	0.985849550859696
1	8377885	8404227	ENSG00000162426	SLC45A1	0.87133167327137
1	8412456	8877702	ENSG00000142599	RERE	0.302831803318439
1	8921060	8939308	ENSG00000074800	ENO1	0.65449353004155
1	9095165	9148537	ENSG00000142583	SLC2A5	0.553285359660073
1	9160363	9189250	ENSG00000180758	GPR157	0.803444816018857
1	9228326	9262678	ENSG00000228526	RP3-510D11.1	0.813337189476058
1	9294862	9331396	ENSG00000049239	H6PD	0.884528328228288
1	9352938	9429591	ENSG00000171621	SPSB1	0.818115529487656
1	9599540	9642831	ENSG00000171612	SLC25A33	0.710000539632328
1	9648931	9674935	ENSG00000188807	TMEM201	0.812206806711811
1	9711789	9789172	ENSG00000171608	PIK3CD	0.450963388785938
1	9789083	9884584	ENSG00000171603	CLSTN1	0.821662394988788
1	9908333	9970394	ENSG00000178585	CTNNBIP1	0.548488647000047
1	9982170	10003465	ENSG00000162441	LZIC	0.651097469394717
1	10003485	10045559	ENSG00000173614	NMNAT1	0.906752798374676
1	10057263	10076078	ENSG00000162444	RBP7	0.480926340329923
1	10092889	10241297	ENSG00000130939	UBE4B	0.385258219369118
1	10270763	10441661	ENSG00000054523	KIF1B	0.443308843500979
1	10458648	10480233	ENSG00000142657	PGD	0.920213337885878
1	10516578	10532583	ENSG00000160049	DFFA	0.656918561433245
1	10532344	10690815	ENSG00000142655	PEX14	0.900317031672476
1	10696660	10856707	ENSG00000130940	CASZ1	0.942222234211168
1	11072413	11085796	ENSG00000120948	TARDBP	0.933173896200726
1	11086579	11107290	ENSG00000009724	MASP2	0.567685664068187
