CHROM	GeneStart	GeneEnd	TargetID	GeneName	Pvalue	Pvalue_pi
1	227614	267253	ENSG00000228463	AP006222.2	0.32660575825945	0.326605754655118
1	564441	564813	ENSG00000225972	MTND1P23	0.64312387677705	0.643123879251101
1	565019	566063	ENSG00000225630	MTND2P28	0.860939162728801	0.840411856876719
1	566453	567996	ENSG00000237973	RP5-857K21.6	0.688550384340495	0.711791914737723
1	568136	568818	ENSG00000229344	RP5-857K21.7	0.811675141949477	0.782759211523201
1	569075	569756	ENSG00000248527	RP5-857K21.10	0.204281175687447	0.252120858891885
1	569755	570302	ENSG00000198744	RP5-857K21.11	0.879929149624239	0.891941894121158
1	700236	714006	ENSG00000228327	RP11-206L10.2	0.874042971368389	0.925713217003577
1	714161	740255	ENSG00000237491	RP11-206L10.6	0.879595177171253	0.879595177171253
1	762987	794826	ENSG00000228794	RP11-206L10.11	0.824841059038756	0.98596220647837
1	1017197	1051741	ENSG00000131591	C1orf159	0.84953478120733	0.775243699463448
1	1138887	1142071	ENSG00000186891	TNFRSF18	0.414924571913494	0.377791192577642
1	1152287	1167411	ENSG00000078808	SDF4	0.756517907285774	0.76002297449087
1	1167628	1170421	ENSG00000176022	B3GALT6	0.891023433622716	0.833016041764828
1	1210602	1215800	ENSG00000230415	RP5-902P8.10	0.10437298645472	0.104372984628737
1	1214446	1227409	ENSG00000162572	SCNN1D	0.612782280627233	0.455227791162857
1	1227755	1244989	ENSG00000131584	ACAP3	0.896124124402963	0.887845952580839
1	1243946	1247057	ENSG00000169972	PUSL1	0.932887702030593	0.669117478702017
1	1246964	1260071	ENSG00000127054	CPSF3L	0.628230828247265	0.628230828247265
1	1252960	1254069	ENSG00000240731	RP5-890O3.9	0.465202904274962	0.465202904274962
1	1260135	1264277	ENSG00000224051	GLTPD1	0.968598885980277	0.990311002776288
1	1270655	1284760	ENSG00000107404	DVL1	0.78185786630533	0.88975770111912
1	1288068	1297157	ENSG00000162576	MXRA8	0.954877365654282	0.955888691391482
1	1309109	1310875	ENSG00000175756	AURKAIP1	0.872493909376481	0.918095249595513
1	1321090	1334708	ENSG00000221978	CCNL2	0.923361880020137	0.83057661239043
1	1334901	1337426	ENSG00000224870	RP4-758J18.2	0.259667729714858	0.4497593733221
1	1337287	1342693	ENSG00000242485	MRPL20	0.742500935963996	0.688589848585877
1	1353799	1357149	ENSG00000235098	ANKRD65	0.164153479309292	0.189669163124693
1	1361507	1363167	ENSG00000205116	TMEM88B	0.886858967348363	0.92300815231524
1	1370240	1378262	ENSG00000179403	VWA1	0.976943512154013	0.969355735648306
1	1385068	1405538	ENSG00000215915	ATAD3C	0.715569685391638	0.750986551525394
1	1447530	1470067	ENSG00000197785	ATAD3A	0.793283696692956	0.900187782006233
1	1470553	1475833	ENSG00000205090	TMEM240	0.649153480785952	0.492294245094531
1	1477052	1510249	ENSG00000160075	SSU72	0.245997365725807	0.345415610135771
1	1510354	1511373	ENSG00000215014	AL645728.1	0.998830730036337	1
1	1533391	1535476	ENSG00000228594	C1orf233	0.788741398791959	0.909226828276172
1	1550794	1565990	ENSG00000197530	MIB2	0.665954637833653	0.777862802985507
1	1571099	1588935	ENSG00000248333	CDK11B	0.797251500010033	0.796871749793023
1	1592938	1624167	ENSG00000189339	SLC35E2B	0.0417089292100166	0.110341915116063
1	1656053	1663343	ENSG00000227775	RP1-283E3.3	0.524426697111385	0.700589569208388
1	1656276	1677431	ENSG00000215790	SLC35E2	0.488124141022126	0.604021113267367
1	1682670	1711896	ENSG00000008130	NADK	0.282666623255997	0.282666623255997
1	1716724	1822502	ENSG00000078369	GNB1	0.5192164073849	0.526364415627066
1	1846265	1848735	ENSG00000169885	CALML6	0.484357556138657	0.661652455628781
1	1853395	1935276	ENSG00000142609	C1orf222	0.73645041181204	0.66758435858762
1	1944651	1946969	ENSG00000233542	RP11-547D24.1	0.714550760304125	0.443361198418373
1	1981908	2116834	ENSG00000067606	PRKCZ	0.963887801029695	0.98495547398753
1	2113232	2115828	ENSG00000182873	RP11-181G12.2	1	1
1	2115902	2144159	ENSG00000162585	C1orf86	0.635654335774102	0.770711079873126
1	2160133	2241558	ENSG00000157933	SKI	0.846735193530007	0.766086847662995
1	2252691	2323146	ENSG00000116151	MORN1	0.629846742145142	0.959015857756757
1	2323266	2335190	ENSG00000157916	RER1	0.0519924941158827	0.0393107124253055
1	2336235	2345236	ENSG00000157911	PEX10	0.925487325241801	0.94695938375017
