CHROM	GeneStart	GeneEnd	TargetID	GeneName	Pvalue	Pvalue_pi
1	14362	29806	ENSG00000227232	WASH7P	0.0894723475606206	0.819548618095615
1	227614	267253	ENSG00000228463	AP006222.2	0.975826792300752	0.124010970471369
1	564441	564813	ENSG00000225972	MTND1P23	0.137605149923092	0.137598663290127
1	565019	566063	ENSG00000225630	MTND2P28	0.999999980666058	0.890345937288382
1	566453	567996	ENSG00000237973	RP5-857K21.6	0.983391720224699	0.898428654394227
1	568136	568818	ENSG00000229344	RP5-857K21.7	1	1
1	569075	569756	ENSG00000248527	RP5-857K21.10	0.992152590163781	0.891823302141446
1	569755	570302	ENSG00000198744	RP5-857K21.11	0.960921735320632	0.504900512839488
1	700236	714006	ENSG00000228327	RP11-206L10.2	0.558094857889107	0.490229019628274
1	714161	740255	ENSG00000237491	RP11-206L10.6	0.967244334112188	0.783624690080537
1	762987	794826	ENSG00000228794	RP11-206L10.11	0.902060191003899	0.810943137377097
1	895966	901095	ENSG00000187961	KLHL17	0.666288413009983	0.592454013717229
1	948802	949920	ENSG00000187608	ISG15	0.233456404512114	0.233456821311166
1	955502	991496	ENSG00000188157	AGRN	0.957482290718692	0.456386402320776
1	995113	1004735	ENSG00000217801	RP11-465B22.3	0.949701538656604	0.114847643842033
1	1017197	1051741	ENSG00000131591	C1orf159	0.987158146181177	0.788957111450429
1	1138887	1142071	ENSG00000186891	TNFRSF18	0.999993732386345	0.377251125766315
1	1152287	1167411	ENSG00000078808	SDF4	0.998796835360747	0.838369474288656
1	1167628	1170421	ENSG00000176022	B3GALT6	0.993884881140421	0.835744647524602
1	1189288	1209265	ENSG00000160087	UBE2J2	0.478901098462336	0.497482314135236
1	1210602	1215800	ENSG00000230415	RP5-902P8.10	0.982118826362318	0.349038197075574
1	1214446	1227409	ENSG00000162572	SCNN1D	0.978200650655743	0.876352787891949
1	1227755	1244989	ENSG00000131584	ACAP3	0.998040734935883	0.800995117742503
1	1243946	1247057	ENSG00000169972	PUSL1	1	0.670992312737341
1	1246964	1260071	ENSG00000127054	CPSF3L	0.996672767844068	0.999973706654414
1	1252960	1254069	ENSG00000240731	RP5-890O3.9	0.999637143951371	0.111879198263358
1	1260135	1264277	ENSG00000224051	GLTPD1	0.99890958160405	0.959785706166198
1	1270655	1284760	ENSG00000107404	DVL1	0.92652574642179	0.791401423582796
1	1288068	1297157	ENSG00000162576	MXRA8	0.999845549969034	0.820428521110678
1	1309109	1310875	ENSG00000175756	AURKAIP1	0.999702242396054	0.997097970997634
1	1321090	1334708	ENSG00000221978	CCNL2	0.999999361294966	0.772412705963889
1	1334901	1337426	ENSG00000224870	RP4-758J18.2	0.677625980165544	0.401466489187391
